rowType,code,name,parentCode,unit,priceA,priceB,directoryCategory,navigation,branch,operation,patientOrToothCondition,quantityRule,exclusion,priceEvidenceLevel,clinicalEvidenceLevel,hospitalConfirmation,clinicalStatus,sourcePage
"add","013306020090001","拔牙创搔刮费—儿童（加收）","013306020090000","牙","9","9","外科","拔牙与拔牙创处理","","","{}","按牙及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","14"
"add","013306020100001","阻生牙龈瓣修整费—儿童（加收）","013306020100000","牙","17","17","外科","拔牙与拔牙创处理","","","{}","按牙及实际实施数量","013306020060000","A","C","是","仅目录；临床规则未审，不可开单","15"
"add","013306020110001","预防性拔牙窝组织封闭费—儿童（加收）","013306020110000","牙","180","180","外科","拔牙与拔牙创处理","","","{}","按牙及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","15"
"add","013306020120001","牙移植费—儿童（加收）","013306020120000","牙","66","66","外科","拔牙与拔牙创处理","","","{}","按牙及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","15"
"extend","013306020120100","牙移植费—牙再植费（扩展）","013306020120000","牙","220","220","外科","拔牙与拔牙创处理","","","{}","按牙及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","15"
"add","013306020130001","口腔良性肿物切除费—儿童（加收）","013306020130000","病灶","75","75","外科","其他口腔外科","","","{}","按病灶及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","15"
"add","013306020130011","口腔良性肿物切除费—软组织缺损修复（加收）","013306020130000","病灶","250","250","外科","其他口腔外科","","","{}","按病灶及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","15"
"add","013306020140001","口腔系带修整费—儿童（加收）","013306020140000","次","45","45","外科","其他口腔外科","","","{}","按次及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","15"
"add","013306020150001","颌骨病变刮切费（口内）—儿童（加收）","013306020150000","次","279","279","外科","其他口腔外科","","","{}","按次及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","16"
"add","013306020150011","颌骨病变刮切费（口内）—微动力辅助加收","013306020150000","次","600","540","外科","其他口腔外科","","","{}","按次及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","16"
"add","013306020160001","颌骨病变刮切费（颌面部）—儿童（加收）","013306020160000","次","104","104","外科","其他口腔外科","","","{}","按次及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","16"
"add","013306020160011","颌骨病变刮切费（颌面部）—微动力辅助加收","013306020160000","次","600","540","外科","其他口腔外科","","","{}","按次及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","16"
"add","013306020170001","颌骨囊肿减压费—儿童（加收）","013306020170000","病灶","112","112","外科","其他口腔外科","","","{}","按病灶及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","16"
"add","013306020180001","口腔牵引钉植入费—儿童（加收）","013306020180000","次","150","150","外科","其他口腔外科 / 正畸治疗","","","{}","按次及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","16"
"add","013306020190001","口腔牵引钉取出费—儿童（加收）","013306020190000","次","4.5","4.5","外科","其他口腔外科 / 正畸治疗","","","{}","按次及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","16"
"add","013306020200001","口腔骨突修整费—儿童（加收）","013306020200000","牙","37","37","外科","其他口腔外科","","","{}","按牙及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","16"
